timestamp,open,high,low,close,volume
2022-03-18 19:20:00,128.6100,128.6100,128.6100,128.6100,172
2022-03-18 19:15:00,128.6001,128.6001,128.6001,128.6001,100
2022-03-18 17:50:00,128.5538,128.5538,128.5538,128.5538,999
2022-03-18 16:55:00,128.7600,129.0200,128.7600,129.0000,2231
2022-03-18 16:45:00,128.5000,128.7600,128.5000,128.7600,543
2022-03-18 16:30:00,128.7600,128.7600,128.7600,128.7600,965
2022-03-18 16:25:00,129.0000,129.0000,128.5200,129.0000,2000
2022-03-18 16:20:00,128.7500,128.7600,128.7500,128.7500,2596
2022-03-18 16:15:00,128.7500,128.7600,128.7500,128.7500,14800
2022-03-18 16:10:00,128.7600,128.7600,128.7600,128.7600,252395
2022-03-18 16:05:00,128.7600,128.7600,128.4600,128.7600,291360
2022-03-18 16:00:00,128.6400,128.9300,128.5100,128.7400,320990
2022-03-18 15:55:00,128.7100,128.7500,128.5010,128.6500,146146
2022-03-18 15:50:00,128.7000,128.8600,128.6000,128.7500,105405
2022-03-18 15:45:00,128.5900,128.7200,128.5300,128.7000,64225
2022-03-18 15:40:00,128.7000,128.7600,128.5600,128.5986,73183
2022-03-18 15:35:00,128.6400,128.7000,128.5900,128.7000,55963
2022-03-18 15:30:00,128.5700,128.6700,128.5600,128.6350,46953
2022-03-18 15:25:00,128.4600,128.5725,128.4600,128.5650,44427
2022-03-18 15:20:00,128.4150,128.4650,128.3100,128.4601,48161
2022-03-18 15:15:00,128.2800,128.4196,128.2800,128.4100,38803
2022-03-18 15:10:00,128.3700,128.4000,128.2600,128.2700,33753
2022-03-18 15:05:00,128.2000,128.4200,128.1800,128.3820,36013
2022-03-18 15:00:00,128.2300,128.2300,128.1400,128.2000,33098
2022-03-18 14:55:00,128.1000,128.2500,128.1000,128.2100,33905
2022-03-18 14:50:00,128.0750,128.1700,128.0600,128.0900,29547
2022-03-18 14:45:00,128.2200,128.2900,128.0760,128.0942,39694
2022-03-18 14:40:00,128.0200,128.3900,128.0200,128.2250,46977
2022-03-18 14:35:00,128.0400,128.0600,127.9200,128.0000,26206
2022-03-18 14:30:00,128.0450,128.0600,127.9300,128.0400,36500
2022-03-18 14:25:00,127.8502,128.0500,127.8400,128.0473,27640
2022-03-18 14:20:00,127.7000,127.9400,127.6700,127.8600,32950
2022-03-18 14:15:00,127.5700,127.7639,127.5500,127.7029,48292
2022-03-18 14:10:00,127.4600,127.5799,127.4000,127.5777,26775
2022-03-18 14:05:00,127.5050,127.5500,127.4500,127.4500,29070
2022-03-18 14:00:00,127.4668,127.5200,127.3900,127.4800,48243
2022-03-18 13:55:00,127.6150,127.6300,127.4400,127.4500,31214
2022-03-18 13:50:00,127.6200,127.7200,127.6100,127.6190,27260
2022-03-18 13:45:00,127.7800,127.7866,127.6000,127.6300,19988
2022-03-18 13:40:00,127.9000,127.9100,127.7566,127.8000,18250
2022-03-18 13:35:00,127.9500,127.9800,127.6600,127.9100,59825
2022-03-18 13:30:00,127.9600,128.0400,127.9100,127.9540,32111
2022-03-18 13:25:00,127.8400,127.9900,127.8100,127.9729,20047
2022-03-18 13:20:00,127.8200,127.8800,127.7400,127.8300,19638
2022-03-18 13:15:00,127.7550,127.8600,127.7500,127.7900,23324
2022-03-18 13:10:00,127.5400,127.8200,127.5200,127.7500,17530
2022-03-18 13:05:00,127.5200,127.6150,127.5200,127.5600,19727
2022-03-18 13:00:00,127.5500,127.5627,127.4900,127.5050,15303
2022-03-18 12:55:00,127.5200,127.5700,127.4900,127.5300,16872
2022-03-18 12:50:00,127.6200,127.6300,127.4500,127.5300,15955
2022-03-18 12:45:00,127.4600,127.6300,127.4000,127.6300,54683
2022-03-18 12:40:00,127.3600,127.5100,127.3500,127.4700,33784
2022-03-18 12:35:00,127.3100,127.3700,127.2700,127.3350,27028
2022-03-18 12:30:00,127.2900,127.3200,127.2300,127.3100,24355
2022-03-18 12:25:00,127.1250,127.2800,127.1100,127.2700,16652
2022-03-18 12:20:00,127.1300,127.3300,127.1100,127.1300,18013
2022-03-18 12:15:00,127.0600,127.2300,126.9800,127.1400,39985
2022-03-18 12:10:00,126.8500,127.0500,126.8301,127.0400,38888
2022-03-18 12:05:00,126.7900,126.8350,126.6300,126.8000,37524
2022-03-18 12:00:00,126.8596,126.9700,126.8000,126.8000,28304
2022-03-18 11:55:00,126.8700,127.0100,126.7800,126.8100,27100
2022-03-18 11:50:00,126.9100,126.9200,126.7800,126.8701,35414
2022-03-18 11:45:00,126.7000,126.9050,126.6700,126.8700,29107
2022-03-18 11:40:00,126.8046,127.0200,126.7100,126.7100,49586
2022-03-18 11:35:00,126.7485,126.8800,126.7300,126.8200,18815
2022-03-18 11:30:00,126.8700,126.8900,126.6900,126.7600,32924
2022-03-18 11:25:00,127.0500,127.0500,126.8100,126.8600,19392
2022-03-18 11:20:00,126.9900,127.0600,126.9100,127.0563,21025
2022-03-18 11:15:00,127.0100,127.1600,127.0000,127.0000,28841
2022-03-18 11:10:00,126.6300,127.0100,126.5800,127.0000,39683
2022-03-18 11:05:00,126.6000,126.7100,126.5800,126.6467,25379
2022-03-18 11:00:00,126.6450,126.6700,126.5300,126.5700,21644
2022-03-18 10:55:00,126.6100,126.6600,126.5400,126.6600,22067
2022-03-18 10:50:00,126.6400,126.8600,126.6100,126.6100,41096
2022-03-18 10:45:00,126.7800,126.8100,126.6400,126.6500,31998
2022-03-18 10:40:00,126.7300,126.8500,126.6000,126.7850,30913
2022-03-18 10:35:00,126.6100,126.8200,126.5850,126.7000,31343
2022-03-18 10:30:00,126.8300,126.8505,126.5700,126.6594,44545
2022-03-18 10:25:00,126.5000,126.8300,126.5000,126.8300,26368
2022-03-18 10:20:00,126.8300,126.8800,126.3700,126.4700,29561
2022-03-18 10:15:00,127.1200,127.1800,126.8200,126.8200,23010
2022-03-18 10:10:00,127.2200,127.2800,127.0300,127.0950,22647
2022-03-18 10:05:00,126.8870,127.2150,126.7200,127.2100,35580
2022-03-18 10:00:00,126.9450,127.0700,126.6600,126.8500,29680
2022-03-18 09:55:00,126.7600,127.0000,126.6500,126.9450,44687
2022-03-18 09:50:00,126.7300,126.8435,126.3800,126.6650,44696
2022-03-18 09:45:00,126.5500,126.8894,126.5300,126.7200,36947
2022-03-18 09:40:00,126.7300,126.8700,126.4500,126.5400,53155
2022-03-18 09:35:00,127.3800,127.6000,126.6000,126.7300,846957
2022-03-18 09:30:00,127.9200,128.0000,127.8900,127.8900,1462
2022-03-18 09:10:00,127.4200,127.4200,127.4200,127.4200,200
2022-03-18 08:20:00,127.6000,127.6000,127.6000,127.6000,251
2022-03-18 08:05:00,127.8200,127.8200,127.8200,127.8200,200
2022-03-18 07:20:00,127.5000,127.5000,127.5000,127.5000,398
2022-03-17 19:00:00,127.5000,127.5000,127.5000,127.5000,511
2022-03-17 18:55:00,127.5000,127.5000,127.5000,127.5000,300
2022-03-17 18:50:00,127.5000,127.5000,127.5000,127.5000,310
2022-03-17 17:30:00,127.9300,127.9400,127.9300,127.9400,565
2022-03-17 16:50:00,127.4500,127.4500,127.4500,127.4500,123
2022-03-17 16:40:00,127.5100,127.5100,127.5100,127.5100,361
